post_id, comment_id, text, accepted
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,False
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,True
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,False
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,True
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,False
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,True
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,True
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,False
128ukfw,128ukfw,Test answer 1,False
128ukfw,128ukfw,Test answer 2,False
128ukfw,128ukfw,Test answer 3,True
128ukfw,128ukfw,Test answer 4,True
