post_id, text, accepted
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
12994jd,What movies come to mind when you think of great soundtracks?,False
129j5h3,If there is ice cream in Zootopia, who is getting milked? Do mammals only eat ice cream produced with their own milk?,True
129p5ct,In your opinion , what non politician would make the best US president?,False
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
129k7ok,What’s the first sign that a movie is going to be bad?,True
